Date,indicators/average_dormancy_supply_adjusted
2011-07-18,5.86267554638046e-07
2011-07-19,9.509469390811205e-08
2011-07-20,1.2723828295221706e-06
2011-07-21,4.0028409439051145e-08
2011-07-22,5.510166784945564e-08
2011-07-23,1.0341869346363532e-07
2011-07-24,2.1737370633117817e-07
2011-07-25,9.829797303573866e-08
2011-07-26,8.593438141458745e-08
2011-07-27,8.481454739683723e-08
2011-07-28,6.904707349398503e-08
2011-07-29,2.006128669676693e-07
2011-07-30,7.413328891846066e-07
2011-07-31,4.331769317153665e-07
2011-08-01,3.886985340202394e-07
2011-08-02,5.386353049237881e-07
2011-08-03,7.669691724491511e-07
2011-08-04,1.1935611841260829e-06
2011-08-05,5.755478274193153e-07
2011-08-06,1.1076352922155221e-06
2011-08-07,7.27050142383439e-07
2011-08-08,4.1914984661077096e-07
2011-08-09,3.440878807948653e-08
2011-08-10,1.0580306514963044e-07
2011-08-11,2.7940255459847677e-07
2011-08-12,1.6856223422066955e-07
2011-08-13,4.7599802517210795e-07
2011-08-14,2.2423647201233398e-07
2011-08-15,5.276882468814081e-07
2011-08-16,3.135855394248752e-07
2011-08-17,4.045162835698248e-07
2011-08-18,4.294749213432941e-07
2011-08-19,2.1852352049940211e-07
2011-08-20,5.548173025221007e-07
2011-08-21,2.3757463609243928e-07
2011-08-22,4.950369033872842e-07
2011-08-23,1.833552861147784e-07
2011-08-24,2.007684767559709e-07
2011-08-25,5.148533907476031e-06
2011-08-26,3.0921971890848796e-06
2011-08-27,1.1757622095175444e-06
2011-08-28,9.666336598438924e-07
2011-08-29,1.8319743185798118e-06
2011-08-30,2.3853811947237833e-07
2011-08-31,2.8083377794875006e-07
2011-09-01,2.396946769961806e-07
2011-09-02,1.2489695697830371e-06
2011-09-03,2.8162281047969687e-07
2011-09-04,4.76308784077396e-08
2011-09-05,1.6795159728507242e-07
2011-09-06,1.26895507983775e-07
2011-09-07,6.688342830006455e-07
2011-09-08,9.324763687778055e-07
2011-09-09,2.3862334969645665e-06
2011-09-10,2.2164466330090162e-07
2011-09-11,1.484243337294339e-06
2011-09-12,4.6372667163123837e-07
2011-09-13,2.550399901809816e-06
2011-09-14,1.6979805893749991e-06
2011-09-15,2.159297818585122e-07
2011-09-16,3.0364235135040624e-07
2011-09-17,5.842762507851859e-07
2011-09-18,1.961161337853487e-07
2011-09-19,3.202932859575372e-07
2011-09-20,8.296870908292867e-07
2011-09-21,1.966887596781517e-07
2011-09-22,3.000075682256114e-07
2011-09-23,6.685046408287857e-07
2011-09-24,1.3415160765639188e-07
2011-09-25,1.29231280681958e-06
2011-09-26,2.7788886153053396e-07
2011-09-27,5.114787761092657e-07
2011-09-28,2.7054063060332716e-07
2011-09-29,9.937793707598918e-08
2011-09-30,6.855385603437129e-07
2011-10-01,4.603011528976969e-07
2011-10-02,3.482463022938435e-07
