Date,transactions/transfers_to_exchanges_count
2014-05-25,6351.0
2014-05-26,5678.0
2014-05-27,5681.0
2014-05-28,6091.0
2014-05-29,5757.0
2014-05-30,5905.0
2014-05-31,5030.0
2014-06-01,6007.0
2014-06-02,5637.0
2014-06-03,6442.0
2014-06-04,6531.0
2014-06-05,6632.0
2014-06-06,6053.0
2014-06-07,5019.0
2014-06-08,5204.0
2014-06-09,5603.0
2014-06-10,5968.0
2014-06-11,5566.0
2014-06-12,6122.0
2014-06-13,6216.0
2014-06-14,5341.0
2014-06-15,5480.0
2014-06-16,6202.0
2014-06-17,6166.0
2014-06-18,5814.0
2014-06-19,6070.0
2014-06-20,6080.0
2014-06-21,5683.0
2014-06-22,5836.0
2014-06-23,5540.0
2014-06-24,5406.0
2014-06-25,5413.0
2014-06-26,5349.0
2014-06-27,5764.0
2014-06-28,4973.0
2014-06-29,4550.0
2014-06-30,5959.0
2014-07-01,5793.0
2014-07-02,5685.0
2014-07-03,6249.0
2014-07-04,5057.0
2014-07-05,4527.0
2014-07-06,4662.0
2014-07-07,5080.0
2014-07-08,5269.0
2014-07-09,5186.0
2014-07-10,5215.0
2014-07-11,4725.0
2014-07-12,4300.0
2014-07-13,4933.0
2014-07-14,5242.0
2014-07-15,5560.0
2014-07-16,5058.0
2014-07-17,5366.0
2014-07-18,5325.0
2014-07-19,5671.0
2014-07-20,4933.0
2014-07-21,5163.0
2014-07-22,5138.0
2014-07-23,4843.0
2014-07-24,5531.0
2014-07-25,5050.0
2014-07-26,4134.0
2014-07-27,4771.0
2014-07-28,5330.0
2014-07-29,4674.0
2014-07-30,5197.0
2014-07-31,5265.0
2014-08-01,5130.0
2014-08-02,4423.0
2014-08-03,4865.0
2014-08-04,5350.0
2014-08-05,5878.0
2014-08-06,6235.0
2014-08-07,5348.0
2014-08-08,4905.0
2014-08-09,4677.0
2014-08-10,5105.0
2014-08-11,6377.0
2014-08-12,6313.0
2014-08-13,6055.0
2014-08-14,6247.0
2014-08-15,6575.0
2014-08-16,6128.0
2014-08-17,5741.0
2014-08-18,6313.0
2014-08-19,6462.0
2014-08-20,6279.0
2014-08-21,6031.0
2014-08-22,5589.0
2014-08-23,4745.0
2014-08-24,5163.0
2014-08-25,5540.0
2014-08-26,5917.0
2014-08-27,5913.0
2014-08-28,5589.0
2014-08-29,5112.0
2014-08-30,4720.0
2014-08-31,5216.0
2014-09-01,4887.0
2014-09-02,5458.0
2014-09-03,5001.0
2014-09-04,5462.0
2014-09-05,5213.0
2014-09-06,5229.0
2014-09-07,5484.0
2014-09-08,6038.0
2014-09-09,6438.0
2014-09-10,5884.0
2014-09-11,5205.0
2014-09-12,5546.0
2014-09-13,5228.0
2014-09-14,5542.0
2014-09-15,5839.0
2014-09-16,7110.0
2014-09-17,6040.0
2014-09-18,6509.0
2014-09-19,6199.0
2014-09-20,5904.0
2014-09-21,5727.0
2014-09-22,6013.0
2014-09-23,7364.0
2014-09-24,7440.0
2014-09-25,8173.0
2014-09-26,6575.0
2014-09-27,6052.0
2014-09-28,5816.0
2014-09-29,5798.0
2014-09-30,6432.0
2014-10-01,6693.0
2014-10-02,6241.0
2014-10-03,9413.0
2014-10-04,7671.0
2014-10-05,7511.0
2014-10-06,6815.0
2014-10-07,6576.0
2014-10-08,6198.0
2014-10-09,6611.0
2014-10-10,6652.0
2014-10-11,5303.0
2014-10-12,5865.0
2014-10-13,6227.0
2014-10-14,6440.0
2014-10-15,6046.0
2014-10-16,5598.0
2014-10-17,5712.0
2014-10-18,5351.0
2014-10-19,5187.0
2014-10-20,5775.0
2014-10-21,6102.0
2014-10-22,5859.0
2014-10-23,5517.0
2014-10-24,5610.0
2014-10-25,5920.0
2014-10-26,6052.0
2014-10-27,6604.0
2014-10-28,5832.0
2014-10-29,6004.0
2014-10-30,6411.0
2014-10-31,5850.0
2014-11-01,5638.0
2014-11-02,6495.0
2014-11-03,5423.0
2014-11-04,6165.0
2014-11-05,5797.0
2014-11-06,6426.0
2014-11-07,6196.0
2014-11-08,5049.0
2014-11-09,6306.0
2014-11-10,6891.0
2014-11-11,6040.0
2014-11-12,7972.0
2014-11-13,7289.0
2014-11-14,7357.0
2014-11-15,5514.0
2014-11-16,7260.0
2014-11-17,7076.0
2014-11-18,5978.0
2014-11-19,5806.0
2014-11-20,5624.0
2014-11-21,5655.0
2014-11-22,5331.0
2014-11-23,6304.0
2014-11-24,5991.0
2014-11-25,5850.0
2014-11-26,5517.0
2014-11-27,6272.0
2014-11-28,5869.0
2014-11-29,5657.0
2014-11-30,6513.0
2014-12-01,6303.0
2014-12-02,6457.0
2014-12-03,5901.0
2014-12-04,5693.0
2014-12-05,6677.0
2014-12-06,5642.0
2014-12-07,5963.0
2014-12-08,6207.0
2014-12-09,6642.0
2014-12-10,6195.0
2014-12-11,5859.0
2014-12-12,6228.0
2014-12-13,5368.0
2014-12-14,6631.0
2014-12-15,7003.0
2014-12-16,8144.0
2014-12-17,6842.0
2014-12-18,7441.0
2014-12-19,7228.0
