Date,transactions/transfers_volume_adjusted_median
2013-09-21,0.231
2013-09-22,0.18487455
2013-09-23,0.2775
2013-09-24,0.299
2013-09-25,0.399
2013-09-26,0.41442369
2013-09-27,0.59345012
2013-09-28,0.4877791
2013-09-29,0.48493762
2013-09-30,0.7873
2013-10-01,0.501974
2013-10-02,0.5782086
2013-10-03,0.3695
2013-10-04,0.374
2013-10-05,0.2264612
2013-10-06,0.244
2013-10-07,0.42039615
2013-10-08,0.26
2013-10-09,0.3
2013-10-10,0.2295
2013-10-11,0.29375544
2013-10-12,0.1949
2013-10-13,0.2107
2013-10-14,0.25
2013-10-15,0.39750767
2013-10-16,0.53861404
2013-10-17,0.3508
2013-10-18,0.24136384
2013-10-19,0.3913
2013-10-20,0.24928714
2013-10-21,0.33165912
2013-10-22,0.4820016
2013-10-23,0.5
2013-10-24,0.34011506
2013-10-25,0.26439424
2013-10-26,0.19962797
2013-10-27,0.19647454
2013-10-28,0.23584652
2013-10-29,0.275445
2013-10-30,0.39852331
2013-10-31,0.1716177
2013-11-01,0.5
2013-11-02,0.2799
2013-11-03,0.34
2013-11-04,0.62213927
2013-11-05,0.6897
2013-11-06,0.56
2013-11-07,0.73462783
2013-11-08,0.79000064
2013-11-09,0.89775522
2013-11-10,0.2763904
2013-11-11,0.199904
2013-11-12,0.30959
2013-11-13,0.27405826
2013-11-14,0.2989546
2013-11-15,0.32427188
2013-11-16,0.49
2013-11-17,0.37464822
2013-11-18,0.72218316
2013-11-19,0.81657239
2013-11-20,0.57776688
2013-11-21,0.4202
2013-11-22,0.38276869
2013-11-23,0.33296
2013-11-24,0.19409801
2013-11-25,0.1999
2013-11-26,0.39876818
2013-11-27,0.52691047
2013-11-28,0.50193804
2013-11-29,0.499
2013-11-30,0.35263157
2013-12-01,0.442494
2013-12-02,0.3902439
2013-12-03,0.28999222
2013-12-04,0.2988
2013-12-05,0.4994
2013-12-06,0.3585527
2013-12-07,0.54150991
2013-12-08,0.26
2013-12-09,0.25
2013-12-10,0.23422223
2013-12-11,0.225
2013-12-12,0.2
2013-12-13,0.22024
2013-12-14,0.21586679
2013-12-15,0.1995724
2013-12-16,0.27703
2013-12-17,0.30094746
2013-12-18,0.4999
2013-12-19,0.30627
2013-12-20,0.23863002
2013-12-21,0.1703
2013-12-22,0.14698947
2013-12-23,0.1509
2013-12-24,0.1669
2013-12-25,0.23984458
2013-12-26,0.20876375
2013-12-27,0.18522828
2013-12-28,0.12459153
2013-12-29,0.1149473
2013-12-30,0.18067528
2013-12-31,0.17
2014-01-01,0.1364455
2014-01-02,0.21595733
2014-01-03,0.233225
2014-01-04,0.19387422
2014-01-05,0.223041
2014-01-06,0.22418372
2014-01-07,0.2
2014-01-08,0.1725
2014-01-09,0.1649
2014-01-10,0.16820515
2014-01-11,0.15219613
2014-01-12,0.13273321
2014-01-13,0.1687
2014-01-14,0.18186785
2014-01-15,0.158472
2014-01-16,0.15658468
2014-01-17,0.15
2014-01-18,0.13129431
2014-01-19,0.1436
2014-01-20,0.18113049
2014-01-21,0.16468512
2014-01-22,0.1657
2014-01-23,0.17746229
2014-01-24,0.2057
2014-01-25,0.16403882
2014-01-26,0.1901109
2014-01-27,0.1985
2014-01-28,0.20938443
2014-01-29,0.19023762
2014-01-30,0.1775
2014-01-31,0.202433
2014-02-01,0.14539378
2014-02-02,0.14814627
2014-02-03,0.135
2014-02-04,0.15873031
2014-02-05,0.16756056
2014-02-06,0.1785
2014-02-07,0.2652801
2014-02-08,0.16013572
2014-02-09,0.16216668
2014-02-10,0.23850149
2014-02-11,0.1999
2014-02-12,0.17495795
2014-02-13,0.2078
2014-02-14,0.22800231
2014-02-15,0.1625578
2014-02-16,0.16
2014-02-17,0.1658
2014-02-18,0.15
2014-02-19,0.17139689
2014-02-20,0.22356652
2014-02-21,0.3159
2014-02-22,0.2
2014-02-23,0.206
2014-02-24,0.25040098
2014-02-25,0.3998
2014-02-26,0.27669488
2014-02-27,0.19
2014-02-28,0.21638621
2014-03-01,0.2
2014-03-02,0.16695664
2014-03-03,0.25631148
2014-03-04,0.24337568
2014-03-05,0.1931694
2014-03-06,0.16291661
2014-03-07,0.15570107
2014-03-08,0.1999
2014-03-09,0.17999328
2014-03-10,0.15844
2014-03-11,0.1429
2014-03-12,0.158
2014-03-13,0.14894918
2014-03-14,0.11
2014-03-15,0.10040594
2014-03-16,0.08679707
2014-03-17,0.1064192
2014-03-18,0.15178182
2014-03-19,0.1
2014-03-20,0.12283314
2014-03-21,0.1198
2014-03-22,0.12657481
2014-03-23,0.09989
2014-03-24,0.1213825
2014-03-25,0.15685488
2014-03-26,0.13955338
2014-03-27,0.16613387
2014-03-28,0.1516159
2014-03-29,0.12274305
2014-03-30,0.12191902
2014-03-31,0.1674345
2014-04-01,0.2
2014-04-02,0.1993
2014-04-03,0.16824684
2014-04-04,0.1784
2014-04-05,0.1186619
2014-04-06,0.11934521
2014-04-07,0.14938
2014-04-08,0.17774239
2014-04-09,0.15855757
2014-04-10,0.2282429
2014-04-11,0.2001749
2014-04-12,0.13647986
2014-04-13,0.1097
2014-04-14,0.199
2014-04-15,0.1827833
2014-04-16,0.19035761
2014-04-17,0.14975278
2014-04-18,0.1699
2014-04-19,0.12216712
2014-04-20,0.12335543
2014-04-21,0.11585563
2014-04-22,0.11
2014-04-23,0.087
2014-04-24,0.1039
2014-04-25,0.10682701
2014-04-26,0.119
2014-04-27,0.1016493
2014-04-28,0.142
2014-04-29,0.11897467
2014-04-30,0.1454428
2014-05-01,0.11766455
2014-05-02,0.10924342
2014-05-03,0.1
2014-05-04,0.0976
2014-05-05,0.11190571
2014-05-06,0.1165
2014-05-07,0.127
2014-05-08,0.108
2014-05-09,0.11415452
2014-05-10,0.1
2014-05-11,0.09270527
2014-05-12,0.1027615
2014-05-13,0.11355222
2014-05-14,0.11240754
2014-05-15,0.10008479
2014-05-16,0.1178
2014-05-17,0.1099
2014-05-18,0.10814301
2014-05-19,0.144275
2014-05-20,0.17131348
2014-05-21,0.16824992
2014-05-22,0.15
2014-05-23,0.17297894
2014-05-24,0.12178922
2014-05-25,0.13399966
2014-05-26,0.1443
2014-05-27,0.15541508
2014-05-28,0.1327514
2014-05-29,0.1373
2014-05-30,0.16804313
2014-05-31,0.14079063
2014-06-01,0.16361181
2014-06-02,0.16214
2014-06-03,0.17515719
2014-06-04,0.16798065
2014-06-05,0.14616628
