Date,transactions/transfers_volume_to_exchanges_sum
2014-04-18,13469.6190157304
2014-04-19,7278.65484920752
2014-04-20,6434.50151010045
2014-04-21,13785.5415400531
2014-04-22,17617.4647079858
2014-04-23,10404.4684761891
2014-04-24,12394.4941426052
2014-04-25,24378.9818918381
2014-04-26,12793.5957895577
2014-04-27,12694.1573059865
2014-04-28,20878.9147444339
2014-04-29,22654.6689766956
2014-04-30,10766.7298578694
2014-05-01,10402.877938888
2014-05-02,7405.67858681803
2014-05-03,13016.2355445436
2014-05-04,11046.5168907243
2014-05-05,14751.9026796172
2014-05-06,8040.60193807145
2014-05-07,10882.3807309556
2014-05-08,10004.4952381232
2014-05-09,10788.749570307
2014-05-10,9241.2138261044
2014-05-11,9244.7600825403
