Date,addresses/new_non_zero_count
2018-01-21,147867.0
2018-01-22,170063.0
2018-01-23,161844.0
2018-01-24,159599.0
2018-01-25,92837.0
2018-01-26,162850.0
2018-01-27,126695.0
2018-01-28,144255.0
2018-01-29,136271.0
2018-01-30,146799.0
2018-01-31,144965.0
2018-02-01,151705.0
2018-02-02,164298.0
2018-02-03,113727.0
2018-02-04,123082.0
2018-02-05,120040.0
2018-02-06,128822.0
2018-02-07,110780.0
2018-02-08,75895.0
2018-02-09,102915.0
2018-02-10,121510.0
2018-02-11,100813.0
2018-02-12,127789.0
2018-02-13,97722.0
2018-02-14,94122.0
2018-02-15,102732.0
2018-02-16,88097.0
2018-02-17,88432.0
2018-02-18,79032.0
2018-02-19,93227.0
2018-02-20,118520.0
2018-02-21,96927.0
2018-02-22,84919.0
2018-02-23,83209.0
2018-02-24,74690.0
2018-02-25,68276.0
2018-02-26,87045.0
2018-02-27,90342.0
2018-02-28,89391.0
2018-03-01,85785.0
2018-03-02,83781.0
2018-03-03,72616.0
2018-03-04,62631.0
2018-03-05,78369.0
2018-03-06,79531.0
2018-03-07,84996.0
2018-03-08,76777.0
2018-03-09,80629.0
2018-03-10,71569.0
2018-03-11,59005.0
2018-03-12,68316.0
2018-03-13,79219.0
2018-03-14,81334.0
2018-03-15,77648.0
2018-03-16,77917.0
2018-03-17,65530.0
2018-03-18,85175.0
2018-03-19,76791.0
2018-03-20,68678.0
2018-03-21,70985.0
2018-03-22,62189.0
2018-03-23,77704.0
2018-03-24,59178.0
2018-03-25,48111.0
2018-03-26,65126.0
2018-03-27,60262.0
2018-03-28,54379.0
2018-03-29,59097.0
2018-03-30,64644.0
2018-03-31,49988.0
2018-04-01,46546.0
2018-04-02,51608.0
2018-04-03,67080.0
2018-04-04,68143.0
2018-04-05,83923.0
2018-04-06,69093.0
2018-04-07,58206.0
2018-04-08,75144.0
2018-04-09,69140.0
2018-04-10,62188.0
2018-04-11,59951.0
2018-04-12,75460.0
2018-04-13,77324.0
2018-04-14,58583.0
2018-04-15,63793.0
2018-04-16,60906.0
2018-04-17,76652.0
2018-04-18,76637.0
2018-04-19,93298.0
2018-04-20,94483.0
2018-04-21,107356.0
2018-04-22,91691.0
2018-04-23,86411.0
2018-04-24,97632.0
2018-04-25,81278.0
2018-04-26,72717.0
2018-04-27,72537.0
2018-04-28,65050.0
2018-04-29,65101.0
2018-04-30,74701.0
2018-05-01,70448.0
2018-05-02,76953.0
2018-05-03,90062.0
2018-05-04,78900.0
2018-05-05,78604.0
2018-05-06,91766.0
2018-05-07,87597.0
2018-05-08,94025.0
2018-05-09,99363.0
2018-05-10,89174.0
2018-05-11,90893.0
2018-05-12,88091.0
2018-05-13,86184.0
2018-05-14,81844.0
2018-05-15,85321.0
2018-05-16,94723.0
2018-05-17,104285.0
2018-05-18,104999.0
2018-05-19,111402.0
2018-05-20,82666.0
2018-05-21,90864.0
2018-05-22,79686.0
2018-05-23,94880.0
2018-05-24,83741.0
2018-05-25,87404.0
2018-05-26,70548.0
2018-05-27,93759.0
2018-05-28,88160.0
2018-05-29,91243.0
2018-05-30,101239.0
2018-05-31,86695.0
2018-06-01,82049.0
2018-06-02,72054.0
2018-06-03,88504.0
2018-06-04,83214.0
2018-06-05,85417.0
2018-06-06,87177.0
2018-06-07,92664.0
2018-06-08,73526.0
2018-06-09,67489.0
2018-06-10,69560.0
2018-06-11,67533.0
2018-06-12,74854.0
2018-06-13,92114.0
2018-06-14,89983.0
2018-06-15,75964.0
2018-06-16,62803.0
2018-06-17,63383.0
2018-06-18,75696.0
2018-06-19,63589.0
2018-06-20,74090.0
2018-06-21,72608.0
2018-06-22,80149.0
2018-06-23,78486.0
2018-06-24,87492.0
2018-06-25,86370.0
2018-06-26,54075.0
2018-06-27,90885.0
2018-06-28,77799.0
2018-06-29,76675.0
2018-06-30,55275.0
2018-07-01,29328.0
2018-07-02,35859.0
2018-07-03,36377.0
2018-07-04,36255.0
2018-07-05,40021.0
2018-07-06,34269.0
2018-07-07,31596.0
2018-07-08,39580.0
2018-07-09,47056.0
2018-07-10,54118.0
2018-07-11,46077.0
2018-07-12,44223.0
2018-07-13,42242.0
2018-07-14,30466.0
2018-07-15,29955.0
2018-07-16,65729.0
2018-07-17,74985.0
2018-07-18,74547.0
2018-07-19,72824.0
2018-07-20,75000.0
2018-07-21,67052.0
2018-07-22,65559.0
2018-07-23,57473.0
2018-07-24,71392.0
2018-07-25,75530.0
2018-07-26,76309.0
2018-07-27,90362.0
2018-07-28,85951.0
2018-07-29,101023.0
2018-07-30,85533.0
2018-07-31,92704.0
2018-08-01,91728.0
2018-08-02,67570.0
2018-08-03,68816.0
2018-08-04,68560.0
2018-08-05,77359.0
2018-08-06,71857.0
2018-08-07,62389.0
2018-08-08,54588.0
2018-08-09,49962.0
2018-08-10,62845.0
2018-08-11,65735.0
2018-08-12,60462.0
2018-08-13,60389.0
2018-08-14,63388.0
2018-08-15,54698.0
2018-08-16,56455.0
2018-08-17,42565.0
2018-08-18,41083.0
2018-08-19,41077.0
2018-08-20,58095.0
2018-08-21,53062.0
2018-08-22,49083.0
2018-08-23,46646.0
2018-08-24,44137.0
2018-08-25,41238.0
2018-08-26,54366.0
2018-08-27,43292.0
2018-08-28,50508.0
2018-08-29,47666.0
2018-08-30,48908.0
2018-08-31,46977.0
2018-09-01,55869.0
2018-09-02,66270.0
2018-09-03,53823.0
2018-09-04,49077.0
2018-09-05,50078.0
2018-09-06,48533.0
2018-09-07,46059.0
2018-09-08,37488.0
2018-09-09,37558.0
2018-09-10,41770.0
2018-09-11,42414.0
2018-09-12,47786.0
2018-09-13,45351.0
2018-09-14,40473.0
2018-09-15,32714.0
2018-09-16,34559.0
2018-09-17,39719.0
2018-09-18,36410.0
2018-09-19,36440.0
2018-09-20,40588.0
2018-09-21,45891.0
2018-09-22,36921.0
2018-09-23,32746.0
2018-09-24,32780.0
2018-09-25,39458.0
2018-09-26,38093.0
2018-09-27,41256.0
2018-09-28,37913.0
2018-09-29,32063.0
2018-09-30,37619.0
