Date,transactions/size_sum
2011-06-27,"5384498,0"
2011-06-28,"4441265,0"
2011-06-29,"4098993,0"
2011-06-30,"3989705,0"
2011-07-01,"4543001,0"
2011-07-02,"3667519,0"
2011-07-03,"3382071,0"
2011-07-04,"4016792,0"
2011-07-05,"3983512,0"
2011-07-06,"4700671,0"
2011-07-07,"3789123,0"
2011-07-08,"3582753,0"
2011-07-09,"3362260,0"
2011-07-10,"3891866,0"
2011-07-11,"4232790,0"
2011-07-12,"3448292,0"
2011-07-13,"3733963,0"
2011-07-14,"3752721,0"
2011-07-15,"3256398,0"
2011-07-16,"3661495,0"
2011-07-17,"3615737,0"
2011-07-18,"4547012,0"
2011-07-19,"4129616,0"
2011-07-20,"3821464,0"
2011-07-21,"3654012,0"
2011-07-22,"3785761,0"
2011-07-23,"3242265,0"
2011-07-24,"3554283,0"
2011-07-25,"4294340,0"
2011-07-26,"3746485,0"
2011-07-27,"3592471,0"
2011-07-28,"3665647,0"
2011-07-29,"3025235,0"
2011-07-30,"2560623,0"
2011-07-31,"3403947,0"
2011-08-01,"3675125,0"
2011-08-02,"3819380,0"
2011-08-03,"3432427,0"
2011-08-04,"3454454,0"
2011-08-05,"3079105,0"
2011-08-06,"3145146,0"
2011-08-07,"2786601,0"
2011-08-08,"3661506,0"
2011-08-09,"4070615,0"
2011-08-10,"3455584,0"
2011-08-11,"3053981,0"
2011-08-12,"2878043,0"
2011-08-13,"3098528,0"
2011-08-14,"3394520,0"
2011-08-15,"3790171,0"
2011-08-16,"4016047,0"
2011-08-17,"3440616,0"
2011-08-18,"3123699,0"
2011-08-19,"3504423,0"
2011-08-20,"3076844,0"
2011-08-21,"3201231,0"
2011-08-22,"3486160,0"
2011-08-23,"3158217,0"
2011-08-24,"3127367,0"
2011-08-25,"3138566,0"
2011-08-26,"3339753,0"
2011-08-27,"3012785,0"
2011-08-28,"2432441,0"
2011-08-29,"3395933,0"
2011-08-30,"3144783,0"
2011-08-31,"2920513,0"
2011-09-01,"3028913,0"
2011-09-02,"2828558,0"
2011-09-03,"2446203,0"
2011-09-04,"5345352,0"
2011-09-05,"3042432,0"
2011-09-06,"3452050,0"
2011-09-07,"2989340,0"
2011-09-08,"2780594,0"
2011-09-09,"3880307,0"
2011-09-10,"2860247,0"
2011-09-11,"2895450,0"
