Date,distribution/balance_exchanges
2019-08-26,15292066.000529757
2019-08-27,15319818.60596808
2019-08-28,15246062.02205108
2019-08-29,15240281.663312314
2019-08-30,15248802.747476537
2019-08-31,15213842.542555751
2019-09-01,15238903.885148069
2019-09-02,15254233.42231755
2019-09-03,15489713.402667586
2019-09-04,15402325.687396782
2019-09-05,15387980.116241008
2019-09-06,15376676.853539148
2019-09-07,15379180.532080414
2019-09-08,15419186.507111983
2019-09-09,15425935.968969645
2019-09-10,15277279.19395245
2019-09-11,15196235.802415252
2019-09-12,15179673.145811033
2019-09-13,15145714.82350215
2019-09-14,15176865.674510233
2019-09-15,15355072.264616987
2019-09-16,15358687.456299495
2019-09-17,15295563.287351353
2019-09-18,15245124.194151612
2019-09-19,15300038.354007946
2019-09-20,15304645.051610284
2019-09-21,15294100.646696512
2019-09-22,15316920.60464607
2019-09-23,15302366.47453857
2019-09-24,15374079.25789445
2019-09-25,15334819.38982355
2019-09-26,15135096.013835033
2019-09-27,15081511.440474585
2019-09-28,15074877.908685623
2019-09-29,15079675.663542844
2019-09-30,15102518.836537853
2019-10-01,15074060.079974622
2019-10-02,15108857.801189996
2019-10-03,15107182.139160626
2019-10-04,15199893.51221863
2019-10-05,15221995.512050975
2019-10-06,15245418.76227509
2019-10-07,15293017.109583931
2019-10-08,15266057.726679292
2019-10-09,15307709.84651316
2019-10-10,15340514.89240541
2019-10-11,15316122.694018457
2019-10-12,15339285.273626976
2019-10-13,15339041.719009716
2019-10-14,15349313.166764822
2019-10-15,15366810.025965558
2019-10-16,15382694.665431853
2019-10-17,15347941.304494925
2019-10-18,15505931.001394076
2019-10-19,15528705.944100002
2019-10-20,15591824.359204518
2019-10-21,15560564.040492311
2019-10-22,15541926.806179972
2019-10-23,15584499.554704517
2019-10-24,15591202.950941876
2019-10-25,15657159.540051522
2019-10-26,15786501.515235385
2019-10-27,15771166.889781762
2019-10-28,15792278.60204329
2019-10-29,15805513.092177019
2019-10-30,15786443.791570656
2019-10-31,15804653.123282121
2019-11-01,15806776.546691041
2019-11-02,15780557.922592906
2019-11-03,15813512.642454267
2019-11-04,15821289.47499081
2019-11-05,15987180.833490444
2019-11-06,16012218.656548208
2019-11-07,16032403.318638096
2019-11-08,16034490.870391864
2019-11-09,16044710.014003728
2019-11-10,16096238.067813933
2019-11-11,16114723.408010934
2019-11-12,16077962.026400063
2019-11-13,16151120.122555885
2019-11-14,16158180.81853008
2019-11-15,16107764.592262313
2019-11-16,16123928.37903139
2019-11-17,16137731.656434506
2019-11-18,16147282.437407428
2019-11-19,16167132.726987313
2019-11-20,16158978.084808806
2019-11-21,16150940.048996666
2019-11-22,16117017.23769974
2019-11-23,16070763.920957025
2019-11-24,16072460.0479928
2019-11-25,16068793.379434176
2019-11-26,16064974.621175388
2019-11-27,16066708.400315471
2019-11-28,16075127.758665066
2019-11-29,16127390.585479788
2019-11-30,16136701.5102369
2019-12-01,16147119.47692946
2019-12-02,16191725.90374159
2019-12-03,16160496.61978561
2019-12-04,16140684.15203867
2019-12-05,16192834.287475191
2019-12-06,16263282.493244447
2019-12-07,16256857.935686512
2019-12-08,16258729.144012624
2019-12-09,16289446.231534783
2019-12-10,16311853.583325248
2019-12-11,16321994.194964573
2019-12-12,16324084.395407377
2019-12-13,16348856.661407918
2019-12-14,16377423.442643795
2019-12-15,16387396.652992325
2019-12-16,16366544.336285159
2019-12-17,16559437.022165453
2019-12-18,16604884.246446205
2019-12-19,16595373.391695749
2019-12-20,16591819.507507376
2019-12-21,16644803.748515723
2019-12-22,16692942.825170357
2019-12-23,16696940.803271595
2019-12-24,16708981.61090644
2019-12-25,16827722.171396296
2019-12-26,16856633.73300734
2019-12-27,16884390.76449027
2019-12-28,16889326.50781647
2019-12-29,16862143.571521126
2019-12-30,16902772.91833028
