Date,supply/active_1w_1m
2017-04-25,9506670.8427313
2017-04-26,9338001.49162034
2017-04-27,8764313.043458
2017-04-28,8446012.7152877
2017-04-29,8405195.19499769
2017-04-30,7801284.90750387
2017-05-01,7866222.84424623
2017-05-02,7590877.79528335
2017-05-03,7590492.73800053
2017-05-04,6915293.93536813
2017-05-05,6932234.68836771
2017-05-06,6963757.26455449
2017-05-07,7400114.78477515
2017-05-08,9253395.31230276
2017-05-09,9442377.24701534
2017-05-10,9322952.32575217
2017-05-11,9690649.11256292
2017-05-12,11003266.5645885
2017-05-13,11232795.7359459
2017-05-14,11191167.9176347
2017-05-15,11356586.2760333
2017-05-16,11732634.5359498
2017-05-17,11497394.4785961
2017-05-18,11204757.2980925
2017-05-19,11004882.1548017
2017-05-20,11084527.4886579
2017-05-21,11364746.0575725
2017-05-22,11242771.5807975
2017-05-23,11753634.8747915
2017-05-24,11782242.8445173
2017-05-25,11570280.9446028
2017-05-26,11529154.8072739
2017-05-27,11610211.9925005
2017-05-28,11787121.015674
2017-05-29,11891098.4231244
2017-05-30,11760713.4646307
2017-05-31,10327820.417328
2017-06-01,10872385.8769673
2017-06-02,11456708.1928083
2017-06-03,11632578.5557011
2017-06-04,11442872.4234301
2017-06-05,11387496.9077163
2017-06-06,11531966.0843786
2017-06-07,11598836.3705125
2017-06-08,11526211.3020472
2017-06-09,11551288.8073317
2017-06-10,10586062.1205362
2017-06-11,10467792.0177945
2017-06-12,10589919.3905478
2017-06-13,9938604.64501928
2017-06-14,10746623.1182369
2017-06-15,10875727.1417854
2017-06-16,10834685.5291196
2017-06-17,10828827.3730732
2017-06-18,10714493.2986057
2017-06-19,11147181.4472794
2017-06-20,10714325.7481613
2017-06-21,11073700.4175039
2017-06-22,10785707.296341
2017-06-23,10050184.82312
2017-06-24,10050740.5515493
2017-06-25,9324545.65192413
2017-06-26,9459845.85928999
2017-06-27,10437941.7699673
2017-06-28,11254642.5645577
2017-06-29,11890313.0500654
2017-06-30,12139635.0000776
2017-07-01,11851823.4374332
2017-07-02,11788701.2390612
2017-07-03,11777357.9318775
2017-07-04,11738353.6857802
2017-07-05,11577372.9308816
2017-07-06,13048049.8057768
2017-07-07,13386806.5336599
2017-07-08,13384661.5894811
2017-07-09,13805214.4223853
2017-07-10,13658183.730459
2017-07-11,14053677.1692987
2017-07-12,13658409.8206369
2017-07-13,13316314.7641868
2017-07-14,12741918.5445051
2017-07-15,12702619.225662
2017-07-16,12421014.3336031
2017-07-17,12388344.5550317
2017-07-18,12471750.4458845
2017-07-19,12471405.2539799
2017-07-20,12511126.9098508
2017-07-21,12271194.7097538
2017-07-22,11925186.8613825
2017-07-23,11657008.6977548
2017-07-24,11150697.015344
2017-07-25,10990351.2813509
2017-07-26,11198549.5317231
2017-07-27,11376218.4034879
2017-07-28,10909106.1181927
2017-07-29,8831212.913275
2017-07-30,8903589.53277188
2017-07-31,9031569.44627331
2017-08-01,9424612.71535853
2017-08-02,9708918.38449188
2017-08-03,9448615.13417858
2017-08-04,9674483.76161928
2017-08-05,9851529.97376647
2017-08-06,9737438.91494854
2017-08-07,9864502.55913231
2017-08-08,9885995.81919018
2017-08-09,9947385.70478873
2017-08-10,9780448.02932905
2017-08-11,9845371.64175646
2017-08-12,9084265.70222544
2017-08-13,9119197.8515076
2017-08-14,9003101.60050672
2017-08-15,9258298.83541842
2017-08-16,9230497.9234286
2017-08-17,9177971.00051376
2017-08-18,8729817.11587688
2017-08-19,8450045.2602101
2017-08-20,8414539.81357064
2017-08-21,8114328.34318731
2017-08-22,8190457.94230282
2017-08-23,8603948.83661326
2017-08-24,8469310.85308452
2017-08-25,8201656.02297931
2017-08-26,8402958.87714819
2017-08-27,8798177.93644189
2017-08-28,9505451.58663357
2017-08-29,9658666.62297016
2017-08-30,9543587.3122714
2017-08-31,9674086.25606026
2017-09-01,9812138.14545674
2017-09-02,9904179.62556302
2017-09-03,10104329.9045706
2017-09-04,10065233.6536417
2017-09-05,10239530.0560908
2017-09-06,10153078.4349167
2017-09-07,10558004.527106
2017-09-08,10089939.134448
2017-09-09,9604267.80115012
2017-09-10,9514588.4393244
