Date,supply/active_24h
2018-02-04,665995.778676703
2018-02-05,810603.086204511
2018-02-06,738541.55222675
2018-02-07,1093045.82772318
2018-02-08,480200.350908603
2018-02-09,448630.605775571
2018-02-10,546361.995154038
2018-02-11,476791.282786267
2018-02-12,705198.555632714
2018-02-13,610048.315948632
2018-02-14,460734.684747272
2018-02-15,656399.824127894
2018-02-16,329362.437357213
2018-02-17,342678.743079767
2018-02-18,345480.777038632
2018-02-19,385823.156797769
2018-02-20,464050.766658668
2018-02-21,424298.342197445
2018-02-22,2183125.66700863
2018-02-23,828780.034179945
2018-02-24,354000.02168653
2018-02-25,310006.071157324
2018-02-26,616887.593007968
2018-02-27,322470.929587258
2018-02-28,444951.140452864
2018-03-01,496762.279453716
2018-03-02,420409.517258761
2018-03-03,280808.466121965
2018-03-04,236289.529367973
2018-03-05,437307.630553628
2018-03-06,676205.353953094
2018-03-07,532221.474665391
2018-03-08,418897.271200991
2018-03-09,361226.589236308
2018-03-10,426184.255187774
2018-03-11,320465.47213418
2018-03-12,621157.790104387
2018-03-13,1036974.82371401
2018-03-14,524693.332722179
2018-03-15,488864.24067466
2018-03-16,385196.029595805
2018-03-17,320245.914378883
2018-03-18,690169.817515133
2018-03-19,476813.668840052
2018-03-20,428007.231364925
2018-03-21,612337.224993996
2018-03-22,432650.890765335
2018-03-23,394554.375884935
2018-03-24,300063.217046637
2018-03-25,248091.599811095
2018-03-26,383739.408046434
2018-03-27,1105589.2329426
2018-03-28,1206166.1821721
2018-03-29,609169.591821089
2018-03-30,482091.700756821
2018-03-31,295782.557024639
2018-04-01,253981.016625873
2018-04-02,289098.669562743
2018-04-03,308872.38248214
2018-04-04,465126.096705381
2018-04-05,283055.211520167
2018-04-06,292255.984103592
2018-04-07,195861.60975773
2018-04-08,291482.172017247
2018-04-09,513566.796726768
2018-04-10,309188.798189165
2018-04-11,326056.81915374
2018-04-12,491127.799854526
2018-04-13,551081.683234166
2018-04-14,195459.988036354
2018-04-15,216092.861001277
2018-04-16,257646.255201115
2018-04-17,315006.458522418
2018-04-18,388216.908169829
2018-04-19,480028.011906516
2018-04-20,718428.420982428
2018-04-21,621043.390229617
2018-04-22,362337.548697834
2018-04-23,654383.775841809
2018-04-24,895965.186152633
2018-04-25,667686.747400006
2018-04-26,635513.34982937
2018-04-27,687888.100402085
2018-04-28,655358.019819465
2018-04-29,386818.564909168
2018-04-30,549922.342446336
2018-05-01,585485.926691411
2018-05-02,833947.578274907
2018-05-03,708474.262869469
2018-05-04,705373.012187299
2018-05-05,405009.530019204
2018-05-06,338600.083436967
2018-05-07,624308.064308105
2018-05-08,501840.376752177
2018-05-09,726937.689996866
2018-05-10,679755.177604662
2018-05-11,534760.870344332
2018-05-12,445650.271318604
2018-05-13,287445.921540431
2018-05-14,506806.798169472
2018-05-15,557301.722660661
2018-05-16,425809.754290352
2018-05-17,418854.975757232
2018-05-18,414437.538461107
2018-05-19,340346.912861115
2018-05-20,358901.647579035
2018-05-21,406377.033155526
2018-05-22,615196.741049014
2018-05-23,656721.646653566
2018-05-24,710845.495038215
2018-05-25,460306.793162551
2018-05-26,340675.473790727
2018-05-27,798220.118071319
2018-05-28,652234.839101912
2018-05-29,518875.171382883
2018-05-30,642916.360631458
2018-05-31,606533.467455111
2018-06-01,429084.278418054
2018-06-02,352975.017673842
2018-06-03,333661.327216493
2018-06-04,439270.634068762
2018-06-05,466670.755700573
2018-06-06,762376.980184662
2018-06-07,527476.569986218
2018-06-08,443732.965185081
2018-06-09,247797.467605561
2018-06-10,431414.126587068
2018-06-11,499722.837337594
2018-06-12,454691.780657805
2018-06-13,660208.230348096
2018-06-14,610341.272231748
2018-06-15,589422.393258784
2018-06-16,385924.370810405
2018-06-17,252187.208533994
2018-06-18,335021.611010815
2018-06-19,492506.780773483
2018-06-20,489541.194424403
2018-06-21,432521.381630063
2018-06-22,471446.662916834
2018-06-23,287465.202580667
2018-06-24,489198.947795338
2018-06-25,549012.3088565
2018-06-26,571074.142126699
2018-06-27,398672.486971111
2018-06-28,430639.497064867
2018-06-29,456234.121822152
2018-06-30,351209.812258706
2018-07-01,303455.360692737
2018-07-02,459115.963225435
2018-07-03,506631.011292608
2018-07-04,457733.469099569
2018-07-05,562122.108084644
2018-07-06,520690.227096792
2018-07-07,419618.192472204
2018-07-08,381021.628547719
2018-07-09,410746.085954074
2018-07-10,587272.289360493
2018-07-11,399320.84854338
2018-07-12,316449.720054854
2018-07-13,336652.920943933
2018-07-14,310436.303501478
2018-07-15,216087.694069627
2018-07-16,549055.786096865
2018-07-17,334567.92515774
2018-07-18,428728.770333277
2018-07-19,363080.201160412
2018-07-20,509493.010716009
2018-07-21,306753.570973664
2018-07-22,226187.461508323
2018-07-23,352280.604388331
2018-07-24,399817.428407266
2018-07-25,400126.083327687
2018-07-26,299790.375316621
2018-07-27,339113.721495317
2018-07-28,237804.003796609
2018-07-29,148086.806140058
2018-07-30,473119.710473422
2018-07-31,390682.461453383
2018-08-01,374840.0000847
2018-08-02,490016.21280686
2018-08-03,250900.109828687
2018-08-04,189954.92314593
2018-08-05,192702.574857338
2018-08-06,281996.568226113
2018-08-07,371299.6660823
2018-08-08,561143.591428126
2018-08-09,383478.53756418
2018-08-10,454856.844888391
2018-08-11,358965.760815655
2018-08-12,242869.006205288
2018-08-13,628382.059773615
2018-08-14,685607.946722882
2018-08-15,491882.428960846
2018-08-16,399162.344184859
2018-08-17,494281.978137107
2018-08-18,295262.415687646
2018-08-19,142107.321342687
2018-08-20,308606.584807956
2018-08-21,372358.601352172
2018-08-22,381354.906541556
2018-08-23,320819.943771886
2018-08-24,313131.0859115
2018-08-25,338702.784335033
2018-08-26,224187.206002531
2018-08-27,306816.723794771
2018-08-28,291922.957893306
2018-08-29,355995.889631927
2018-08-30,305074.846652468
2018-08-31,332296.279229032
2018-09-01,229748.852835047
2018-09-02,183916.439583135
2018-09-03,310394.292086698
2018-09-04,904156.475951076
2018-09-05,549069.376658083
2018-09-06,602095.935726839
2018-09-07,594075.275136526
2018-09-08,514339.06443839
2018-09-09,542093.879307051
2018-09-10,591077.144851682
2018-09-11,457412.318266874
2018-09-12,676223.236816855
2018-09-13,530725.228060336
2018-09-14,476951.218797198
2018-09-15,336378.718412478
2018-09-16,214808.862884742
2018-09-17,336700.504314301
2018-09-18,397618.552559484
2018-09-19,515625.232435062
2018-09-20,457567.825557805
2018-09-21,463728.645742592
2018-09-22,301237.499100602
2018-09-23,268768.365722385
2018-09-24,804408.712558726
2018-09-25,364820.079716458
2018-09-26,457830.977575647
2018-09-27,438083.632131878
2018-09-28,360344.588972525
2018-09-29,330921.701918921
2018-09-30,297946.882293194
2018-10-01,323829.344965437
2018-10-02,265965.489497736
2018-10-03,335365.557547262
2018-10-04,273223.894938309
2018-10-05,560819.457744003
2018-10-06,237886.652338062
2018-10-07,173643.074014464
2018-10-08,317175.779270557
2018-10-09,323791.982289521
2018-10-10,319761.484211096
2018-10-11,587206.388189407
2018-10-12,465903.929957056
2018-10-13,307003.352179812
2018-10-14,229725.213327166
2018-10-15,718215.855071461
2018-10-16,735402.667754338
2018-10-17,432946.571737394
2018-10-18,569338.429303455
2018-10-19,377423.840701591
2018-10-20,408224.679174596
2018-10-21,1174394.54413516
2018-10-22,255518.136193571
2018-10-23,303065.184901197
