Date,indicators/cdd
2017-04-17,21162468.5564449
2017-04-18,46512933.1853203
2017-04-19,38504355.0564623
2017-04-20,61060827.8548122
2017-04-21,18377932.1991298
2017-04-22,100510684.320411
2017-04-23,15505000.684672
2017-04-24,38162836.0163439
2017-04-25,31557612.960107
2017-04-26,252764595.142092
2017-04-27,23593861.0531767
2017-04-28,56609433.7526882
2017-04-29,55343551.0564977
2017-04-30,53363268.5998179
2017-05-01,307687076.142986
2017-05-02,52386771.1163424
2017-05-03,31345757.3613183
2017-05-04,108386755.746032
2017-05-05,246536872.951887
2017-05-06,112701831.877378
2017-05-07,158309842.741098
2017-05-08,43522237.3066853
2017-05-09,132724636.747119
2017-05-10,45764456.6168576
2017-05-11,29672343.4503393
2017-05-12,49118019.0295384
2017-05-13,15479939.6495202
2017-05-14,44069132.3851782
2017-05-15,64026773.2928892
2017-05-16,45002013.5122067
2017-05-17,113811882.484789
2017-05-18,27377514.8760273
2017-05-19,140076035.311168
2017-05-20,34768041.0523442
2017-05-21,213212024.013925
2017-05-22,184025310.381004
2017-05-23,113687416.415272
2017-05-24,104605319.408346
2017-05-25,139779577.246932
2017-05-26,103543304.203579
2017-05-27,135341074.419476
2017-05-28,68266956.1421972
2017-05-29,51330649.3142737
2017-05-30,74357745.9477757
2017-05-31,161813063.311331
2017-06-01,75185829.6820638
2017-06-02,36421094.5280147
2017-06-03,90857682.466519
2017-06-04,29069621.5090254
2017-06-05,84308827.6046738
2017-06-06,51704051.4399111
2017-06-07,141054397.567737
2017-06-08,50456163.1738662
2017-06-09,72133570.0538395
2017-06-10,59985625.1619432
2017-06-11,49734585.5488119
2017-06-12,190947047.149209
2017-06-13,158980368.407645
2017-06-14,96028818.0557809
2017-06-15,60464138.4552417
2017-06-16,53229880.2975307
2017-06-17,64305878.5610782
2017-06-18,60589292.7125787
2017-06-19,58597754.2956651
2017-06-20,176698473.978386
2017-06-21,72405933.3730143
2017-06-22,251365997.4165
2017-06-23,43206193.7903684
2017-06-24,55916647.3959898
2017-06-25,64194089.7928063
2017-06-26,56969097.282654
2017-06-27,45372130.6784833
2017-06-28,22063744.5330606
2017-06-29,440854689.990315
2017-06-30,105750399.091175
2017-07-01,53135250.4917269
2017-07-02,81900951.1963221
2017-07-03,66249470.8883849
2017-07-04,31274781.1353356
2017-07-05,29170511.9972594
2017-07-06,29306541.6294816
2017-07-07,27833115.7054312
2017-07-08,75195998.9601693
2017-07-09,18128370.5556275
2017-07-10,36055544.416236
2017-07-11,38975275.8658662
2017-07-12,82476032.4698153
2017-07-13,67524812.1891183
2017-07-14,60509025.4547593
2017-07-15,37360608.1581468
2017-07-16,75461098.318296
2017-07-17,73417514.5323265
2017-07-18,22271022.0349249
2017-07-19,120578241.450143
2017-07-20,107280174.216958
2017-07-21,29956087.0844241
2017-07-22,85648747.0297318
2017-07-23,21875215.2931543
2017-07-24,38548959.5965122
2017-07-25,24404705.1798741
2017-07-26,22847205.6269919
2017-07-27,23775318.2852299
2017-07-28,86498924.4761553
2017-07-29,38551223.9757878
2017-07-30,13132313.4022918
2017-07-31,29118973.7534452
2017-08-01,79106145.0867867
2017-08-02,28718018.1021131
2017-08-03,74538644.3874387
2017-08-04,15476174.7227862
2017-08-05,17159880.7840825
2017-08-06,71365808.9587514
2017-08-07,81877687.2495625
2017-08-08,29060420.9822466
2017-08-09,121073447.046197
2017-08-10,106695754.334215
2017-08-11,94773775.8103808
2017-08-12,17804597.0117552
2017-08-13,30399335.2248642
2017-08-14,24209885.7131787
2017-08-15,42005451.0193512
2017-08-16,100835371.533438
2017-08-17,30500355.6184202
2017-08-18,39533652.5563707
2017-08-19,17385035.5025205
2017-08-20,41405165.0837129
2017-08-21,109359617.371334
2017-08-22,28874699.0542067
2017-08-23,41116162.6386181
2017-08-24,138516910.818036
2017-08-25,47725724.7955683
2017-08-26,26869831.4434636
2017-08-27,69518118.8998963
2017-08-28,95908427.8811191
2017-08-29,101015630.31564
2017-08-30,74296090.8603894
2017-08-31,92865523.423782
2017-09-01,44819270.6243472
2017-09-02,95984684.7694084
2017-09-03,17864238.9870248
2017-09-04,62563698.012166
2017-09-05,35450268.2331445
2017-09-06,46643550.4530953
2017-09-07,20847531.5185852
2017-09-08,21895263.8695558
2017-09-09,42777070.3284209
2017-09-10,18624199.3192477
2017-09-11,29012710.7002092
