Date,mining/thermocap
2018-07-29,4821313822.968874
2018-07-30,4830701951.73607
2018-07-31,4839808337.470563
2018-08-01,4848430776.812538
2018-08-02,4857002075.202677
2018-08-03,4865468513.103645
2018-08-04,4873968417.941933
2018-08-05,4882336989.885698
2018-08-06,4890681879.190635
2018-08-07,4898936943.102212
2018-08-08,4906505962.514268
2018-08-09,4913960859.19038
2018-08-10,4921202132.000942
2018-08-11,4927822625.758185
2018-08-12,4934399126.112632
2018-08-13,4940780926.729858
2018-08-14,4946177202.904605
2018-08-15,4952040332.195203
2018-08-16,4957944267.981607
2018-08-17,4964111464.470307
2018-08-18,4970339819.80434
2018-08-19,4976441897.457168
2018-08-20,4982434654.22708
2018-08-21,4988161736.150268
2018-08-22,4993938914.037239
2018-08-23,4999543005.096863
2018-08-24,5005293121.349503
2018-08-25,5011028927.33985
2018-08-26,5016646735.336383
2018-08-27,5022349092.216721
2018-08-28,5028231497.935139
2018-08-29,5034164880.675591
2018-08-30,5039968999.306271
2018-08-31,5045720939.367583
2018-09-01,5051640620.422642
2018-09-02,5057679232.240762
2018-09-03,5063581124.101851
2018-09-04,5069493808.834495
2018-09-05,5074898724.651503
2018-09-06,5079565467.327341
2018-09-07,5084095864.585413
2018-09-08,5088421900.205202
2018-09-09,5092437551.027188
2018-09-10,5096460252.230628
2018-09-11,5100325015.8109045
2018-09-12,5103932752.451644
2018-09-13,5107963178.324303
2018-09-14,5112322527.807761
2018-09-15,5116788473.004808
2018-09-16,5121265973.070302
2018-09-17,5125634399.070918
2018-09-18,5129747845.053641
2018-09-19,5134059511.40701
2018-09-20,5138367624.83583
2018-09-21,5143129320.548715
2018-09-22,5148019454.751822
2018-09-23,5152940580.964866
2018-09-24,5157754197.652199
2018-09-25,5162143859.504653
2018-09-26,5166586394.494821
2018-09-27,5171083047.285126
2018-09-28,5175700912.02205
2018-09-29,5180288220.963962
2018-09-30,5185061617.524284
2018-10-01,5189742561.359602
2018-10-02,5194432858.007963
2018-10-03,5198904014.199586
2018-10-04,5203463724.976059
2018-10-05,5207963326.434189
2018-10-06,5212596012.552263
2018-10-07,5217202513.931399
2018-10-08,5221847250.050866
2018-10-09,5226491725.756258
2018-10-10,5231090224.122744
2018-10-11,5235230733.232372
2018-10-12,5239219868.7280855
2018-10-13,5243292971.804165
2018-10-14,5247383534.758332
2018-10-15,5251587254.888765
2018-10-16,5255858577.042225
2018-10-17,5260108800.431921
2018-10-18,5264316487.343604
2018-10-19,5268445170.625765
2018-10-20,5272634670.696256
2018-10-21,5276841006.893777
2018-10-22,5280986988.669293
2018-10-23,5285175952.169427
2018-10-24,5289342635.427953
2018-10-25,5293449263.3036585
2018-10-26,5297612064.934585
2018-10-27,5301740314.046191
2018-10-28,5305891374.639947
2018-10-29,5309991854.365664
2018-10-30,5313970661.727945
2018-10-31,5318018811.048032
2018-11-01,5322045744.4136715
2018-11-02,5326065527.651537
2018-11-03,5330104619.1311865
2018-11-04,5334216239.231136
2018-11-05,5338470171.344506
2018-11-06,5342772760.079638
2018-11-07,5347255417.164096
2018-11-08,5351595232.588393
2018-11-09,5355871282.316617
2018-11-10,5360198905.698823
2018-11-11,5364486921.082661
2018-11-12,5368775026.811738
2018-11-13,5373001785.669178
2018-11-14,5376956863.655191
2018-11-15,5380519089.648634
2018-11-16,5384128940.908547
2018-11-17,5387617200.860057
2018-11-18,5391174250.31852
2018-11-19,5394356482.307383
2018-11-20,5397138391.352247
2018-11-21,5399845111.039085
2018-11-22,5402505160.877122
2018-11-23,5404980463.567136
2018-11-24,5407424933.248472
2018-11-25,5409623575.519541
2018-11-26,5411876279.353511
2018-11-27,5413977798.44671
2018-11-28,5416300779.891231
2018-11-29,5418697088.509767
2018-11-30,5420995828.766206
2018-12-01,5423290852.586463
2018-12-02,5425596549.612956
2018-12-03,5427788562.035639
2018-12-04,5429952840.637564
2018-12-05,5432013721.395725
2018-12-06,5433988774.306352
2018-12-07,5435700015.689565
2018-12-08,5437485203.07739
2018-12-09,5439326257.203265
2018-12-10,5441185344.6573105
2018-12-11,5442925441.060499
2018-12-12,5444698507.145327
2018-12-13,5446463818.813002
2018-12-14,5448130383.379509
2018-12-15,5449799242.986216
2018-12-16,5451490069.937696
2018-12-17,5453197673.355842
2018-12-18,5454987532.697169
2018-12-19,5456940126.742211
2018-12-20,5458986156.768543
2018-12-21,5461127884.969764
2018-12-22,5463249944.7295265
2018-12-23,5465678936.07329
2018-12-24,5468462035.4851055
2018-12-25,5470933202.021468
2018-12-26,5473455515.011042
2018-12-27,5475821024.741784
2018-12-28,5478163351.806844
2018-12-29,5480807256.039255
2018-12-30,5483405529.43751
2018-12-31,5485997506.393395
2019-01-01,5488539911.871017
2019-01-02,5491369543.91257
2019-01-03,5494083715.531278
