Date,supply/active_1d_1w
2018-05-21,2334818.75770123
2018-05-22,2393731.93689003
2018-05-23,2551455.79032572
2018-05-24,2405813.52115844
2018-05-25,2702409.60705099
2018-05-26,2802870.27148689
2018-05-27,2728951.83989861
2018-05-28,2976587.79008568
2018-05-29,3090492.38979406
2018-05-30,3135071.87553023
2018-05-31,3278396.52715487
2018-06-01,3642926.89949426
2018-06-02,3535931.88451522
2018-06-03,3332004.78966168
2018-06-04,3195193.46288877
2018-06-05,3132224.04747392
2018-06-06,2168498.38175445
2018-06-07,2466795.2491205
2018-06-08,2603346.10015931
2018-06-09,2756820.90611349
2018-06-10,2680924.89044543
2018-06-11,2559608.43224877
2018-06-12,2652018.72694527
2018-06-13,2524140.61882803
2018-06-14,2797460.90694511
2018-06-15,2961359.70072263
2018-06-16,3151728.17245561
2018-06-17,3164186.48294094
2018-06-18,2843560.30215222
2018-06-19,2607935.1899157
2018-06-20,2461378.16325151
2018-06-21,2389608.40192922
2018-06-22,2339047.96812685
2018-06-23,2434016.28109265
2018-06-24,2269146.5746312
2018-06-25,2219479.40899477
2018-06-26,2334423.54831802
2018-06-27,2477002.64024387
2018-06-28,2364755.07070458
2018-06-29,2308702.84287648
2018-06-30,2174207.24993684
2018-07-01,2109089.07671018
2018-07-02,2017342.77870433
2018-07-03,1962096.29443336
2018-07-04,2105219.5861992
2018-07-05,2196925.97101258
2018-07-06,2291546.955311
2018-07-07,2336442.02907178
2018-07-08,2391632.89258081
2018-07-09,2405954.37931672
2018-07-10,2061117.97320031
2018-07-11,2285703.51459221
2018-07-12,2261833.85941097
2018-07-13,2164961.58522297
2018-07-14,2160715.00283047
2018-07-15,2122033.49396062
2018-07-16,2022660.79348247
2018-07-17,2212675.86939391
2018-07-18,2139553.3195117
2018-07-19,2221334.70911531
2018-07-20,2151369.67127755
2018-07-21,2348932.89472062
2018-07-22,2410016.7498266
2018-07-23,2235258.75295552
2018-07-24,2046597.67282357
2018-07-25,2064280.39354858
2018-07-26,2211996.18261744
2018-07-27,1871017.93520491
2018-07-28,1890541.63477274
2018-07-29,1931012.12755216
2018-07-30,1756603.99928659
2018-07-31,1893602.9131014
2018-08-01,1936113.81501885
2018-08-02,1907595.65929861
2018-08-03,2147774.92305046
2018-08-04,2253418.44749237
2018-08-05,2197365.21281679
2018-08-06,2017735.36559967
2018-08-07,1932278.7220719
2018-08-08,1943145.16912282
2018-08-09,2079534.67616481
2018-08-10,2104952.30729613
2018-08-11,2213058.32194061
2018-08-12,2319537.41662905
2018-08-13,2161526.3271169
2018-08-14,2382803.62172348
2018-08-15,2637189.49021941
2018-08-16,2648015.5766995
2018-08-17,2578590.51397104
2018-08-18,2697826.44136529
2018-08-19,2757582.10539068
2018-08-20,2477100.55062563
2018-08-21,1852317.8942964
2018-08-22,1838351.17683543
2018-08-23,1949390.20064313
2018-08-24,1905739.41784956
2018-08-25,2017795.44769664
2018-08-26,2109035.46300586
2018-08-27,1893680.82949775
2018-08-28,1868825.38494139
2018-08-29,1757596.61103313
2018-08-30,1846043.05178621
2018-08-31,1883856.2104768
2018-09-01,1799057.01340631
2018-09-02,1705243.1422127
2018-09-03,1579559.98305168
2018-09-04,1717329.66909276
2018-09-05,2235272.6083201
2018-09-06,2444291.71315895
2018-09-07,2374703.84869068
2018-09-08,2629077.41692576
2018-09-09,2781806.8789704
2018-09-10,2621324.10270839
2018-09-11,2376767.14716168
2018-09-12,2340627.98905889
2018-09-13,2538341.69899763
2018-09-14,2520160.10940859
2018-09-15,2575439.48697856
2018-09-16,2635615.50126142
2018-09-17,2523614.32078937
2018-09-18,2406937.403949
2018-09-19,2417138.61173114
2018-09-20,2304940.63243415
2018-09-21,2220459.10068098
2018-09-22,1998007.7151045
2018-09-23,1942881.02998967
2018-09-24,1865088.02777261
2018-09-25,2446757.02081288
2018-09-26,2498635.00940487
2018-09-27,2464928.14894627
2018-09-28,2496378.95831634
2018-09-29,2713037.4555493
2018-09-30,2804431.16400282
2018-10-01,2315810.4905223
2018-10-02,2314490.92087263
2018-10-03,2318288.80522324
2018-10-04,2308320.35870141
2018-10-05,2304303.90603159
2018-10-06,2582450.1758849
2018-10-07,2500245.71761731
2018-10-08,2346845.20013751
2018-10-09,2232480.69813653
2018-10-10,2138434.46309717
2018-10-11,1996387.18142852
2018-10-12,2004898.13635316
2018-10-13,2043801.76663967
2018-10-14,2080128.82932037
2018-10-15,1845329.57859185
2018-10-16,2110126.64720818
2018-10-17,2327196.2222484
2018-10-18,2416267.05784106
2018-10-19,2615426.70826515
2018-10-20,2524341.33071238
2018-10-21,2697452.03670599
2018-10-22,3640599.87113392
2018-10-23,3224414.92634244
2018-10-24,3131211.66204915
2018-10-25,3341957.5539049
2018-10-26,3437883.13610971
2018-10-27,3518518.42945033
2018-10-28,2550857.78287909
2018-10-29,2591134.40383731
2018-10-30,2509102.23662512
2018-10-31,2369686.77724217
2018-11-01,2428192.60218753
2018-11-02,2414887.85201552
2018-11-03,2470444.47414953
2018-11-04,2203230.11037116
2018-11-05,1931269.01713467
