Date,mining/revenue_from_fees
2017-07-31,0.009518445
2017-08-01,0.012158466
2017-08-02,0.011086956
2017-08-03,0.011155906
2017-08-04,0.010222274
2017-08-05,0.011017392
2017-08-06,0.011388729
2017-08-07,0.014734581
2017-08-08,0.015430859
2017-08-09,0.012209386
2017-08-10,0.014376922
2017-08-11,0.015912969
2017-08-12,0.015496514
2017-08-13,0.013634674
2017-08-14,0.015436083
2017-08-15,0.016976595
2017-08-16,0.049223335
2017-08-17,0.029734802
2017-08-18,0.043666169
2017-08-19,0.020485863
2017-08-20,0.013071988
2017-08-21,0.014295104
2017-08-22,0.014241708
2017-08-23,0.013776496
2017-08-24,0.014128637
2017-08-25,0.016208637
2017-08-26,0.015795739
2017-08-27,0.014557284
2017-08-28,0.017234393
2017-08-29,0.026340172
2017-08-30,0.022365367
2017-08-31,0.037823411
2017-09-01,0.026638504
2017-09-02,0.031531643
2017-09-03,0.015665505
2017-09-04,0.025131175
2017-09-05,0.031232295
2017-09-06,0.039182802
2017-09-07,0.036964919
2017-09-08,0.037888316
2017-09-09,0.022639748
2017-09-10,0.02130175
2017-09-11,0.020444103
2017-09-12,0.026218483
2017-09-13,0.023916664
2017-09-14,0.020751288
2017-09-15,0.031574858
2017-09-16,0.033044913
2017-09-17,0.018946888
2017-09-18,0.020706184
2017-09-19,0.019489452
2017-09-20,0.033114737
2017-09-21,0.016571861
2017-09-22,0.01907278
2017-09-23,0.020593828
2017-09-24,0.027675993
2017-09-25,0.025112088
2017-09-26,0.024740835
2017-09-27,0.026696703
2017-09-28,0.024086242
2017-09-29,0.021792646
2017-09-30,0.024305603
2017-10-01,0.023149383
2017-10-02,0.023108062
2017-10-03,0.024502194
2017-10-04,0.024540974
2017-10-05,0.026357744
2017-10-06,0.028280599
2017-10-07,0.020629275
2017-10-08,0.022970404
2017-10-09,0.024366838
2017-10-10,0.026272737
2017-10-11,0.057087257
2017-10-12,0.026683309
2017-10-13,0.029852518
2017-10-14,0.025321847
2017-10-15,0.024204646
2017-10-16,0.020419169
2017-10-17,0.015773385
2017-10-18,0.014477032
2017-10-19,0.013711465
2017-10-20,0.023447253
2017-10-21,0.011294087
2017-10-22,0.009531223
2017-10-23,0.013003597
2017-10-24,0.017096883
2017-10-25,0.014172681
2017-10-26,0.013435682
2017-10-27,0.014320744
2017-10-28,0.011659669
2017-10-29,0.011811965
2017-10-30,0.014494814
2017-10-31,0.015769488
2017-11-01,0.017982847
2017-11-02,0.018086751
2017-11-03,0.013536717
2017-11-04,0.010395758
2017-11-05,0.009607953
2017-11-06,0.013105609
2017-11-07,0.015198651
2017-11-08,0.018412125
2017-11-09,0.015745469
2017-11-10,0.014011013
2017-11-11,0.01127956
2017-11-12,0.014519978
2017-11-13,0.014924114
2017-11-14,0.016482402
2017-11-15,0.01973697
2017-11-16,0.017181462
2017-11-17,0.018009246
2017-11-18,0.012415739
2017-11-19,0.01363372
2017-11-20,0.017878286
2017-11-21,0.017530001
2017-11-22,0.017514296
2017-11-23,0.017534136
2017-11-24,0.015052704
2017-11-25,0.014051199
2017-11-26,0.017138096
2017-11-27,0.017884259
2017-11-28,0.020412253
2017-11-29,0.021288838
2017-11-30,0.020305538
2017-12-01,0.019914711
2017-12-02,0.016764465
2017-12-03,0.019627777
2017-12-04,0.03787514
2017-12-05,0.054228311
2017-12-06,0.069456575
2017-12-07,0.09673722
2017-12-08,0.101789465
2017-12-09,0.093705261
2017-12-10,0.085980194
2017-12-11,0.070070034
2017-12-12,0.070455001
2017-12-13,0.065535404
2017-12-14,0.076176611
2017-12-15,0.065296758
2017-12-16,0.067194928
2017-12-17,0.054491529
2017-12-18,0.053486823
2017-12-19,0.067249506
2017-12-20,0.077427013
2017-12-21,0.079377915
2017-12-22,0.073842527
2017-12-23,0.054760956
2017-12-24,0.047570307
2017-12-25,0.035690456
2017-12-26,0.035171659
2017-12-27,0.038680179
2017-12-28,0.039166759
2017-12-29,0.046925951
2017-12-30,0.045201446
2017-12-31,0.040852606
2018-01-01,0.035921194
2018-01-02,0.04871961
2018-01-03,0.056791327
2018-01-04,0.066096101
2018-01-05,0.131994748
2018-01-06,0.148098691
2018-01-07,0.120810014
2018-01-08,0.125035548
2018-01-09,0.129750698
2018-01-10,0.149187154
2018-01-11,0.129634732
2018-01-12,0.100022625
2018-01-13,0.1044425
2018-01-14,0.096155519
2018-01-15,0.09836299
2018-01-16,0.096455975
2018-01-17,0.090310003
2018-01-18,0.094839859
2018-01-19,0.082929365
2018-01-20,0.07883793
2018-01-21,0.061298388
2018-01-22,0.054994777
2018-01-23,0.065630361
2018-01-24,0.059108885
2018-01-25,0.049469956
2018-01-26,0.044886158
2018-01-27,0.038440781
2018-01-28,0.041388177
2018-01-29,0.058405115
2018-01-30,0.049728799
2018-01-31,0.049468679
2018-02-01,0.070178207
2018-02-02,0.05505351
2018-02-03,0.041839508
2018-02-04,0.039922627
2018-02-05,0.040601157
2018-02-06,0.043443883
2018-02-07,0.039963266
2018-02-08,0.031123858
2018-02-09,0.033474755
2018-02-10,0.035520405
2018-02-11,0.031118431
2018-02-12,0.030416623
2018-02-13,0.029961704
2018-02-14,0.031024384
2018-02-15,0.029880085
2018-02-16,0.028675844
2018-02-17,0.031976266
2018-02-18,0.036289143
2018-02-19,0.031122801
2018-02-20,0.035239753
2018-02-21,0.034621369
2018-02-22,0.029247572
2018-02-23,0.029426377
2018-02-24,0.029693156
2018-02-25,0.026432548
2018-02-26,0.026162332
2018-02-27,0.02690524
2018-02-28,0.03513844
2018-03-01,0.027256803
2018-03-02,0.034303176
2018-03-03,0.024300114
2018-03-04,0.026663925
2018-03-05,0.030258877
2018-03-06,0.024620306
2018-03-07,0.028742716
2018-03-08,0.025941827
2018-03-09,0.023988564
2018-03-10,0.01905604
2018-03-11,0.01730499
2018-03-12,0.02459641
2018-03-13,0.0188574
2018-03-14,0.020237919
2018-03-15,0.018840981
2018-03-16,0.02006343
2018-03-17,0.015066433
2018-03-18,0.017576963
2018-03-19,0.018226646
2018-03-20,0.018273911
2018-03-21,0.021351638
2018-03-22,0.02038763
2018-03-23,0.021760822
2018-03-24,0.018218913
2018-03-25,0.016161676
2018-03-26,0.020826501
2018-03-27,0.017487042
2018-03-28,0.017734528
2018-03-29,0.018682521
2018-03-30,0.016947215
2018-03-31,0.013555261
2018-04-01,0.012269588
2018-04-02,0.014852205
2018-04-03,0.016029927
2018-04-04,0.013761456
2018-04-05,0.023158409
2018-04-06,0.016952081
2018-04-07,0.01184175
2018-04-08,0.013683444
2018-04-09,0.014921069
2018-04-10,0.014060799
2018-04-11,0.015853204
2018-04-12,0.018412093
2018-04-13,0.02098522
2018-04-14,0.015312551
2018-04-15,0.014175855
2018-04-16,0.015964709
2018-04-17,0.01734502
2018-04-18,0.020392774
2018-04-19,0.021089778
2018-04-20,0.021397136
2018-04-21,0.016651677
2018-04-22,0.017188203
2018-04-23,0.01871943
2018-04-24,0.022950917
2018-04-25,0.021637074
2018-04-26,0.021793491
2018-04-27,0.023339291
2018-04-28,0.02496656
2018-04-29,0.025693844
2018-04-30,0.026833344
2018-05-01,0.021289283
2018-05-02,0.022319501
2018-05-03,0.02689294
2018-05-04,0.025816315
2018-05-05,0.020273432
2018-05-06,0.018249218
2018-05-07,0.020965644
2018-05-08,0.023778193
2018-05-09,0.024818784
2018-05-10,0.034780086
2018-05-11,0.033749309
2018-05-12,0.02361408
2018-05-13,0.024902131
2018-05-14,0.031691896
2018-05-15,0.031710645
2018-05-16,0.033948983
2018-05-17,0.036857065
2018-05-18,0.034866928
2018-05-19,0.031035133
2018-05-20,0.028435878
2018-05-21,0.031936508
2018-05-22,0.036154074
2018-05-23,0.036034529
2018-05-24,0.034117121
2018-05-25,0.032260904
2018-05-26,0.027986914
2018-05-27,0.026072207
2018-05-28,0.040058127
2018-05-29,0.038448342
2018-05-30,0.040250928
2018-05-31,0.049222278
2018-06-01,0.040855905
2018-06-02,0.028287721
2018-06-03,0.028036971
2018-06-04,0.034284605
2018-06-05,0.030253488
2018-06-06,0.037747606
2018-06-07,0.029467027
2018-06-08,0.025795901
2018-06-09,0.020661551
2018-06-10,0.021015971
2018-06-11,0.022235876
2018-06-12,0.022168844
2018-06-13,0.023159526
2018-06-14,0.024894969
2018-06-15,0.028473216
2018-06-16,0.027209917
2018-06-17,0.014984455
2018-06-18,0.01582167
2018-06-19,0.022242379
2018-06-20,0.020817576
2018-06-21,0.019930758
2018-06-22,0.040973334
2018-06-23,0.016533521
2018-06-24,0.024672731
2018-06-25,0.025038845
2018-06-26,0.018475761
2018-06-27,0.018521104
2018-06-28,0.017835144
2018-06-29,0.018889981
2018-06-30,0.088280739
2018-07-01,0.136797666
2018-07-02,0.22098275
2018-07-03,0.164025009
2018-07-04,0.125683121
