Date,mining/marketcap_thermocap_ratio
2016-12-03,7.187883839296681e-08
2016-12-04,7.11238831136902e-08
2016-12-05,6.578765836951555e-08
2016-12-06,6.192943692605e-08
2016-12-07,7.0673190208617e-08
2016-12-08,7.633423188741478e-08
2016-12-09,7.468383547454361e-08
2016-12-10,7.534363017120883e-08
2016-12-11,7.409773745655735e-08
2016-12-12,7.513982711060146e-08
2016-12-13,7.523552064807856e-08
2016-12-14,7.441722673149987e-08
2016-12-15,7.06350707727804e-08
2016-12-16,6.898683799310848e-08
2016-12-17,6.757974188355804e-08
2016-12-18,6.919565172126283e-08
2016-12-19,6.843689954342791e-08
2016-12-20,6.717746892567766e-08
2016-12-21,6.765036685360564e-08
2016-12-22,6.683745393299608e-08
2016-12-23,6.439725336927596e-08
2016-12-24,6.320914190925549e-08
2016-12-25,6.276782120257481e-08
2016-12-26,6.27017131786723e-08
2016-12-27,6.352375822005408e-08
2016-12-28,6.347287663231837e-08
2016-12-29,7.157917084368946e-08
2016-12-30,7.178594224622809e-08
2016-12-31,6.986494657270588e-08
2017-01-01,7.09513285721551e-08
2017-01-02,7.025822887737733e-08
2017-01-03,7.556471481751514e-08
2017-01-04,9.00335652577802e-08
2017-01-05,9.129331235777215e-08
2017-01-06,8.491486039832168e-08
2017-01-07,8.229458692374277e-08
2017-01-08,8.407008429245472e-08
2017-01-09,8.749959900266716e-08
2017-01-10,8.737061358287791e-08
2017-01-11,8.422463771710203e-08
2017-01-12,8.071123853497634e-08
2017-01-13,8.119133293413584e-08
2017-01-14,8.102470334050445e-08
2017-01-15,8.135274132548386e-08
2017-01-16,7.94915096759823e-08
2017-01-17,8.204808905588698e-08
2017-01-18,8.393777467220322e-08
2017-01-19,8.407996952498074e-08
2017-01-20,8.584529416034072e-08
2017-01-21,8.676333089559774e-08
2017-01-22,8.712801808793054e-08
2017-01-23,8.627316882300837e-08
2017-01-24,8.551371667200052e-08
2017-01-25,8.456934913887338e-08
2017-01-26,8.462804282526772e-08
2017-01-27,8.417437417946676e-08
2017-01-28,8.433345575627549e-08
2017-01-29,8.37545051848301e-08
2017-01-30,8.334801688301507e-08
2017-01-31,8.412981803015374e-08
2017-02-01,8.3879290440841e-08
2017-02-02,8.396755363999219e-08
2017-02-03,8.461347661635866e-08
2017-02-04,8.739325643608173e-08
2017-02-05,8.74536921976876e-08
2017-02-06,8.70046018650338e-08
2017-02-07,8.796526799521392e-08
2017-02-08,8.799650963630698e-08
2017-02-09,8.603474997780829e-08
2017-02-10,8.468924936400783e-08
2017-02-11,8.64262138494953e-08
2017-02-12,8.654655615207081e-08
2017-02-13,8.596195687792598e-08
2017-02-14,9.300469750541219e-08
2017-02-15,9.727258507828729e-08
2017-02-16,9.627361162972603e-08
2017-02-17,9.61665733863025e-08
2017-02-18,9.585180670260811e-08
2017-02-19,9.578742675240177e-08
2017-02-20,9.513407963557392e-08
2017-02-21,9.37905022771949e-08
2017-02-22,9.427757744775032e-08
2017-02-23,9.427872582755557e-08
2017-02-24,9.635224666137221e-08
2017-02-25,9.806251426904565e-08
2017-02-26,1.0102141899639827e-07
2017-02-27,1.0792771649333802e-07
2017-02-28,1.150848403126578e-07
2017-03-01,1.1667085229211893e-07
2017-03-02,1.3104059818377098e-07
2017-03-03,1.4196735709090108e-07
2017-03-04,1.3941302660845256e-07
2017-03-05,1.3333919344546525e-07
2017-03-06,1.3813182667267118e-07
2017-03-07,1.358175055619427e-07
2017-03-08,1.2621989519782448e-07
2017-03-09,1.2164103032195534e-07
2017-03-10,1.2714261932054849e-07
2017-03-11,1.366522706979336e-07
2017-03-12,1.5540831374026218e-07
2017-03-13,1.9172255116189279e-07
2017-03-14,1.9516725232767626e-07
2017-03-15,2.066273110418905e-07
2017-03-16,2.721330903886527e-07
2017-03-17,3.047090623900725e-07
2017-03-18,2.554605798381714e-07
2017-03-19,2.5831587148494865e-07
2017-03-20,2.804733759828138e-07
2017-03-21,2.7516109794200005e-07
2017-03-22,2.6094516029014747e-07
2017-03-23,2.6155485810037923e-07
2017-03-24,2.881659859299669e-07
2017-03-25,3.086792994182376e-07
2017-03-26,3.0907374100573914e-07
2017-03-27,3.054384454953387e-07
2017-03-28,2.987939699639923e-07
2017-03-29,3.113907229646245e-07
2017-03-30,3.119118436575284e-07
2017-03-31,2.921241053148552e-07
2017-04-01,2.9070903541567097e-07
2017-04-02,2.869137875447633e-07
2017-04-03,2.614452854319437e-07
2017-04-04,2.469498529520737e-07
2017-04-05,2.5834483141594185e-07
2017-04-06,2.4804462944348157e-07
2017-04-07,2.3874331446104055e-07
2017-04-08,2.449639778320368e-07
2017-04-09,2.3972267202125474e-07
2017-04-10,2.3588788779236916e-07
2017-04-11,2.3692442812728068e-07
2017-04-12,2.3641991779705725e-07
2017-04-13,2.576317786855136e-07
2017-04-14,2.5221641544002894e-07
2017-04-15,2.481884268976264e-07
2017-04-16,2.5009266125584726e-07
